Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
A1,4,3,0.116,287,2474.14,942,0,0,0,0
A1,4,3,0.116,287,2474.14,942,0,0,0,0
A8,4,3,0.161,415,2577.64,1222,0,0,0,0
A8,4,3,0.155,415,2677.42,1222,0,0,0,0
A8,4,3,0.154,415,2694.81,1222,0,0,0,0

C1,4,-102,0.052,163,3134.62,358,0,0,0,0
C1,4,-102,0.073,163,2232.88,358,0,0,0,0
C1,4,-102,0.051,163,3196.08,358,0,0,0,0
A1,4,107,0.068,240,3529.41,484,0,0,0,0
A1,4,107,0.09,240,2666.67,484,0,0,0,0
A1,4,107,0.069,240,3478.26,484,0,0,0,0

A8,14,0,33.19,932992,28110.6,318478,0,0,0,0
A8,14,0,33.694,932992,27690.2,318478,0,0,0,0
A8,14,0,31.816,932992,29324.6,318478,0,0,0,0
B8,14,0,17.817,485953,27274.7,171089,0,0,0,0
B8,14,0,17.368,485953,27979.8,171089,0,0,0,0
B8,14,0,16.068,485953,30243.5,171089,0,0,0,0

G7,14,100,147.941,4521981,30566.1,1357540,0,0,0,0
G7,14,100,147.013,4521981,30759.1,1357540,0,0,0,0
G7,14,100,153.821,4521981,29397.7,1357540,0,0,0,0
F1,14,-100,45.384,1402364,30900,419699,0,0,0,0
F1,14,-100,45.341,1402364,30929.3,419699,0,0,0,0
F1,14,-100,45.367,1402364,30911.5,419699,0,0,0,0

A8,14,300,53.611,1661459,30991,575334,0,0,0,0
A8,14,300,52.694,1661459,31530.3,575334,0,0,0,0
A8,14,300,54.962,1661459,30229.2,575334,0,0,0,0
G1,14,-300,5.472,144209,26354,48659,0,0,0,0
G1,14,-300,4.939,144209,29198,48659,0,0,0,0
G1,14,-300,4.68,144209,30813.9,48659,0,0,0,0

A1,14,-80,9.367,246632,26329.9,83519,0,0,0,0
A1,14,-80,9.537,246632,25860.5,83519,0,0,0,0
A1,14,-80,9.92,246632,24862.1,83519,0,0,0,0
B1,14,80,2.312,55263,23902.7,17810,0,0,0,0
B1,14,80,1.962,55263,28166.7,17810,0,0,0,0
B1,14,80,1.972,55263,28023.8,17810,0,0,0,0

C2,14,280,29.72,933817,31420.5,271441,0,0,0,0
C2,14,280,28.361,933817,32926.1,271441,0,0,0,0
C2,14,280,28.33,933817,32962.1,271441,0,0,0,0
C1,14,-280,16.142,474228,29378.5,139816,0,0,0,0
C1,14,-280,16.508,474228,28727.2,139816,0,0,0,0
C1,14,-280,14.393,474228,32948.5,139816,0,0,0,0

