Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
E7,4,47,0.276,404,1463.77,2348,0,0,0,0
E7,4,47,0.276,404,1463.77,2348,0,0,0,0
E7,4,47,0.277,404,1458.48,2348,0,0,0,0

H5,4,-58,1.618,1407,869.592,13370,0,0,0,0
H5,4,-58,1.426,1407,986.676,13370,0,0,0,0
H5,4,-58,1.327,1407,1060.29,13370,0,0,0,0
H4,4,58,0.811,1030,1270.04,8174,0,0,0,0
H4,4,58,0.8,1030,1287.5,8174,0,0,0,0
H4,4,58,0.773,1030,1332.47,8174,0,0,0,0

H5,4,-49,0.457,807,1765.86,4580,0,0,0,0
H5,4,-49,0.435,807,1855.17,4580,0,0,0,0
H5,4,-49,0.433,807,1863.74,4580,0,0,0,0
D6,4,54,0.372,494,1327.96,3918,0,0,0,0
D6,4,54,0.382,494,1293.19,3918,0,0,0,0
D6,4,54,0.371,494,1331.54,3918,0,0,0,0

A1,4,3,1.509,1628,1078.86,15787,0,0,0,0
A1,4,3,1.502,1628,1083.89,15787,0,0,0,0
A1,4,3,1.704,1628,955.399,15787,0,0,0,0
A8,4,3,1.683,1789,1062.98,17407,0,0,0,0
A8,4,3,1.643,1789,1088.86,17407,0,0,0,0
A8,4,3,1.648,1789,1085.56,17407,0,0,0,0

C1,4,-102,1.967,1628,827.656,16811,0,0,0,0
C1,4,-102,1.659,1628,981.314,16811,0,0,0,0
C1,4,-102,1.598,1628,1018.77,16811,0,0,0,0
A1,4,107,1.54,1711,1111.04,15074,0,0,0,0
A1,4,107,1.419,1711,1205.78,15074,0,0,0,0
A1,4,107,1.415,1711,1209.19,15074,0,0,0,0

A8,14,0,11417.5,386234152,33828.3,160238791,0,0,0,0
A8,14,0,11420.9,386234152,33818.2,160238791,0,0,0,0
A8,14,0,11418,386234152,33826.8,160238791,0,0,0,0
B8,14,0,2333.41,78251079,33535.1,32830755,0,0,0,0
B8,14,0,2294.9,78251079,34097.8,32830755,0,0,0,0
B8,14,0,2295.2,78251079,34093.3,32830755,0,0,0,0

G7,14,100,7541.95,267937166,35526.3,98953047,0,0,0,0
G7,14,100,7561.45,267937166,35434.6,98953047,0,0,0,0
G7,14,100,7551.14,267937166,35483,98953047,0,0,0,0
F1,14,-100,1860.53,66108930,35532.3,24537304,0,0,0,0
F1,14,-100,1865.5,66108930,35437.6,24537304,0,0,0,0
F1,14,-100,1863.36,66108930,35478.4,24537304,0,0,0,0

A8,14,300,17815.6,608933959,34179.8,259860705,0,0,0,0
A8,14,300,17897.5,608933959,34023.5,259860705,0,0,0,0
A8,14,300,18598,608933959,32741.8,259860705,0,0,0,0
G1,14,-300,716.275,23266550,32482.7,9970164,0,0,0,0
