Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
F3,8,19,60.58,150108,2477.85,491905,0,0,0,0

F8,8,-40,17.146,47269,2756.85,150035,0,0,0,0
F8,8,-40,16.27,47269,2905.29,150035,0,0,0,0
F8,8,-40,16.292,47269,2901.36,150035,0,0,0,0
C5,8,49,11.215,43199,3851.89,80679,0,0,0,0
C5,8,49,10.968,43199,3938.64,80679,0,0,0,0
C5,8,49,11.327,43199,3813.81,80679,0,0,0,0

C3,8,-57,47.153,115304,2445.32,410311,0,0,0,0
C3,8,-57,46.098,115304,2501.28,410311,0,0,0,0
C3,8,-57,49.321,115304,2337.83,410311,0,0,0,0
G4,8,65,28.531,105006,3680.42,210619,0,0,0,0
G4,8,65,26.801,105006,3917.99,210619,0,0,0,0
G4,8,65,26.806,105006,3917.26,210619,0,0,0,0

D1,8,-47,10.472,36989,3532.18,63237,0,0,0,0
D1,8,-47,9.567,36989,3866.31,63237,0,0,0,0
D1,8,-47,8.598,36989,4302.05,63237,0,0,0,0
B1,8,53,6.196,19746,3186.89,43675,0,0,0,0
B1,8,53,6.29,19746,3139.27,43675,0,0,0,0
B1,8,53,5.475,19746,3606.58,43675,0,0,0,0

D1,8,-1,61.746,158204,2562.17,514686,0,0,0,0
D1,8,-1,60.018,158204,2635.94,514686,0,0,0,0
D1,8,-1,60.139,158204,2630.64,514686,0,0,0,0
H4,8,10,40.888,120439,2945.58,311615,0,0,0,0
H4,8,10,38.469,120439,3130.81,311615,0,0,0,0
H4,8,10,38.169,120439,3155.41,311615,0,0,0,0

F2,8,-94,15.854,49056,3094.23,127415,0,0,0,0
F2,8,-94,16.809,49056,2918.44,127415,0,0,0,0
F2,8,-94,15.575,49056,3149.66,127415,0,0,0,0
A1,8,100,16.302,56442,3462.27,115213,0,0,0,0
A1,8,100,15.815,56442,3568.89,115213,0,0,0,0
A1,8,100,16.102,56442,3505.28,115213,0,0,0,0

G7,16,0,1076.77,31059295,28844.9,9863244,0,0,0,0
G7,16,0,1037.23,31059295,29944.5,9863244,0,0,0,0
G7,16,0,1040.05,31059295,29863.3,9863244,0,0,0,0
B7,16,0,67.622,2008404,29700.5,643990,0,0,0,0
B7,16,0,67.572,2008404,29722.4,643990,0,0,0,0
B7,16,0,67.616,2008404,29703.1,643990,0,0,0,0

D1,16,100,7083.38,221414972,31258.4,66150972,0,0,0,0
D1,16,100,7150.69,221414972,30964.1,66150972,0,0,0,0
